LigandID,name,nHBAcc,nHBDon,Lipinski,SLogP,MW,pIC50,MW_violent,LogP_violent,NumHDonors_violent,NumHAcceptors_violent,Ro5_violent,SLogP_violent,nHBDon_violent,nHBAcc_violent,predicted_pic50,Residual,StdResidual
CHEMBL2063750,CC(C)(C)OC(=O)Nc1cc(Oc2ccc3nc(NC(=O)C4CC4)sc3n2)ccc1F,7,2,0,5.318200000000003,444.12675437200056,5.7,Non-violent,1.0,0.0,0.0,1,Violent,Non-violent,Non-violent,6.315014597266326,-0.6150145972663257,-1.69
CHEMBL518187,Cc1cc(C)n(-c2nc3c(c(=O)n(C)c(=O)n3C)n2Cc2ccccc2)n1,8,0,1,1.2845399999999991,364.1647738800006,4.24,Non-violent,0.0,0.0,0.0,0,Non-violent,Non-violent,Non-violent,4.631627212029192,-0.39162721202919215,-1.08
CHEMBL3908336,O=C(Nc1ccc(Oc2ccnc(NC(=O)C3CC3)c2)cc1F)Nc1cc(C(F)(F)F)ccc1F,4,3,0,6.163400000000002,492.1220815040005,8.05,Non-violent,1.0,0.0,0.0,1,Violent,Non-violent,Non-violent,7.934003287775743,0.11599671222425734,0.32
CHEMBL4171543,C=CC(=O)Nc1ccc(-c2ccc(NC(=O)Nc3cccc(Cl)c3)cc2)cn1,3,3,0,5.170500000000002,392.10400346400047,7.49,Non-violent,1.0,0.0,0.0,1,Violent,Non-violent,Non-violent,6.913913024120685,0.5760869758793152,1.58
CHEMBL3697909,Cc1cn(-c2ncc3ncnc(Nc4cc(C(=O)Nc5cc(C(C)(C)C)on5)ccc4C)c3n2)cn1,10,2,1,4.503740000000003,483.2131210400007,8.7,Non-violent,0.0,0.0,0.0,0,Non-violent,Non-violent,Non-violent,8.528476684331842,0.17152331566815704,0.47
CHEMBL1824294,CCOc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)c2cc1OC,8,2,0,5.758900000000004,477.2012189640008,6.76,Non-violent,1.0,0.0,0.0,1,Violent,Non-violent,Non-violent,6.949112200763325,-0.1891122007633248,-0.52
CHEMBL3641113,Cc1ccc(C(=O)Nc2cc(C(C)(C)C)on2)cc1Nc1ncnc2cnc(N3C[C@H]4C[C@@H]3CN4C)nc12,10,2,0,3.902320000000001,513.260071232001,8.7,Violent,0.0,0.0,0.0,1,Non-violent,Non-violent,Non-violent,8.728859340613955,-0.028859340613955453,-0.08
CHEMBL3694089,COc1ccc(C(=O)Nc2ccc(OC)c(C(F)(F)F)c2)cc1Nc1ncnc2cnc(N3CCCC3)nc12,9,2,0,5.051900000000003,539.1892722880009,7.62,Violent,1.0,0.0,0.0,2,Violent,Non-violent,Non-violent,7.993399383904292,-0.3733993839042915,-1.03
CHEMBL3898336,C=CCCOC(=O)Nc1nc2cc(C3(O)c4ccccc4C(=O)N3Cc3ccccc3)ccc2[nH]1,5,3,1,4.536900000000003,468.17975524800073,7.0,Non-violent,0.0,0.0,0.0,0,Non-violent,Non-violent,Non-violent,6.946023422583819,0.053976577416181115,0.15
CHEMBL526268,CCn1cc(-c2ccnc3[nH]ccc23)c(-c2cccc(NC(=O)Nc3cc(C(F)(F)F)ccc3F)c2)n1,4,3,0,6.915200000000004,508.1634721400006,8.41,Violent,1.0,0.0,0.0,2,Violent,Non-violent,Non-violent,8.017293157315244,0.3927068426847562,1.08
CHEMBL1822102,CC(C)CS(=O)(=O)Nc1ccc(F)c(C(=O)Nc2cnc3[nH]ccc3c2)c1F,4,3,1,3.491100000000001,408.10676787600056,6.85,Non-violent,0.0,0.0,0.0,0,Non-violent,Non-violent,Non-violent,7.179722545114682,-0.3297225451146826,-0.91
CHEMBL3913836,O=C1CCc2c(Oc3ccc4c(c3)C3C(O4)C3C(=O)O)ccnc2N1,5,2,1,2.3176,338.09027154800043,5.3,Non-violent,0.0,0.0,0.0,0,Non-violent,Non-violent,Non-violent,5.761364724252266,-0.4613647242522658,-1.27
CHEMBL570458,CC(=O)N1C2CCC1CC(c1ccnc3c(-c4cccc5[nH]ncc45)c(-c4ccncc4)nn13)C2,6,1,1,4.591500000000004,463.2120584200008,8.04,Non-violent,0.0,0.0,0.0,0,Non-violent,Non-violent,Non-violent,7.966970509764016,0.07302949023598337,0.2
CHEMBL3697928,CN1CCN(c2cc(NC(=O)c3ccc(F)c(Nc4ncnc5cnc(NC6CCOC6)nc45)c3)cc(C(F)(F)F)c2)CC1,10,3,0,4.526200000000003,611.2380340480008,9.0,Violent,0.0,0.0,0.0,1,Non-violent,Non-violent,Non-violent,8.918760105352048,0.08123989464795223,0.22
CHEMBL3661224,COc1cc(-c2ccc3ncnc(Nc4ccc5c(c4)OCO5)c3c2)ccc1O,7,2,1,4.483300000000003,387.1219060240004,6.165,Non-violent,0.0,0.0,0.0,0,Non-violent,Non-violent,Non-violent,6.351543151889956,-0.18654315188995607,-0.51
CHEMBL1808255,CC(=O)N1CCN(c2ccc(Nc3nccc(-c4sc(C(C)C)nc4-c4cccc(NS(=O)(=O)c5ccccc5F)c4)n3)cn2)CC1,10,2,0,6.137500000000006,672.2101071360008,9.22,Violent,1.0,0.0,0.0,2,Violent,Non-violent,Non-violent,8.857024956061753,0.3629750439382473,1.0
CHEMBL3694036,CCN1CCN(c2cc(NC(=O)c3ccc(C)c(Nc4ncnc5c(N)nc(N(C)C)nc45)c3)cc(C(F)(F)F)c2)CC1,10,3,0,4.533020000000002,594.279090336001,7.72,Violent,0.0,0.0,0.0,1,Non-violent,Non-violent,Non-violent,8.03481322422801,-0.3148132242280104,-0.86
CHEMBL3641112,Cc1ccc(C(=O)Nc2cc(C(C)(C)C)on2)cc1Nc1ncnc2cnc(N3C[C@@H](C)N[C@@H](C)C3)nc12,10,3,0,4.196220000000002,515.275721296001,8.7,Violent,0.0,0.0,0.0,1,Non-violent,Non-violent,Non-violent,8.557928493775767,0.14207150622423192,0.39
CHEMBL603253,CC(C)(C)c1cc(C(=O)Nc2cccc(Oc3cccc4[nH]c(=O)[nH]c34)c2)n(Cc2ccccc2)n1,5,3,0,5.443100000000004,481.21138972400087,4.0,Non-violent,1.0,0.0,0.0,1,Violent,Non-violent,Non-violent,4.466565047252616,-0.46656504725261616,-1.28
CHEMBL4868251,COc1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)cc3)c2c1,5,2,0,6.093500000000002,454.1252750640005,6.4,Non-violent,1.0,0.0,0.0,1,Violent,Non-violent,Non-violent,6.428141914887114,-0.028141914887113373,-0.08
CHEMBL3954891,CC(F)(F)c1cc(NC(=O)Nc2ccc(Oc3ccnc(NC(=O)C4CC4)c3)cc2F)ccc1F,4,3,0,6.256300000000003,488.1471533800006,8.15,Non-violent,1.0,0.0,0.0,1,Violent,Non-violent,Non-violent,7.936563564683329,0.21343643531667134,0.59
CHEMBL3970191,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1-c1nc(N2CCOCC2)cc(N2CCOCC2)n1,7,1,0,4.396320000000004,527.2144244160008,8.66,Violent,0.0,0.0,0.0,1,Non-violent,Non-violent,Non-violent,8.70466625166167,-0.044666251661670486,-0.12
CHEMBL3956565,COc1ccnc2[nH]cc(C(=O)c3c(F)ccc(NS(=O)(=O)c4cccc(F)c4)c3F)c12,5,2,1,4.020600000000003,461.06571158800034,8.0,Non-violent,0.0,0.0,0.0,0,Non-violent,Non-violent,Non-violent,7.275796119263143,0.7242038807368569,1.99
CHEMBL4072537,COCCCOc1cc(C2(C(=O)Nc3cc(C(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)ccc3C)CC2)ncn1,6,2,0,5.795120000000005,562.1594676520008,6.36,Violent,1.0,0.0,0.0,2,Violent,Non-violent,Non-violent,6.793870830265172,-0.4338708302651719,-1.19
CHEMBL3641232,Cc1ccc(NC(=O)c2cccc(C(C)(C)C#N)c2)cc1Nc1ncnc2cnc(N(C)C3CCOCC3)nc12,9,2,0,5.140500000000003,536.2648222640009,8.3,Violent,1.0,0.0,0.0,2,Violent,Non-violent,Non-violent,8.60501010624864,-0.30501010624863945,-0.84
CHEMBL3697888,Cc1ccc(C(=O)Nc2cccc(S(=O)(=O)N(C)C)c2)cc1Nc1ncnc2cnc(N3CCNCC3)nc12,10,3,0,2.3840200000000005,547.211406788001,8.15,Violent,0.0,0.0,0.0,1,Non-violent,Non-violent,Non-violent,7.841965687425909,0.3080343125740912,0.85
CHEMBL3936474,Cc1ccc(C(=O)Nc2cc(C(C)(C)C)on2)cc1-n1cc(-c2cncc(NC3CCOC3)c2)nn1,9,2,1,4.376320000000002,487.23318778800086,8.22,Non-violent,0.0,0.0,0.0,0,Non-violent,Non-violent,Non-violent,7.985928380706411,0.23407161929358988,0.64
CHEMBL3697884,Cc1ccc(C(=O)Nc2ccc(C#N)c(C(F)(F)F)c2)cc1Nc1ncnc2cnc(N3CCOCC3)nc12,9,2,0,4.451200000000004,534.1739565720006,8.4,Violent,0.0,0.0,0.0,1,Non-violent,Non-violent,Non-violent,8.474078158614143,-0.07407815861414235,-0.2
CHEMBL4110419,CC(C)CC1(C)OC(c2ccnc(NC[C@H]3CCCN3)n2)=C(c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)C1=O,8,3,0,5.131000000000004,615.2127101640009,5.7,Violent,1.0,0.0,0.0,2,Violent,Non-violent,Non-violent,6.36934730465001,-0.6693473046500102,-1.84
CHEMBL498317,OCC(O)Cn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncc2)n1,7,3,1,2.0898,364.15354050000064,9.06,Non-violent,0.0,0.0,0.0,0,Non-violent,Non-violent,Non-violent,9.296960270620172,-0.23696027062017144,-0.65
CHEMBL1088295,CN(C)CCc1cccc(-c2cnn3c(-c4cccc(NC(=O)c5cccc(C(F)(F)F)c5)c4)ccnc23)c1,5,1,0,6.438500000000006,529.2089451120007,7.39,Violent,1.0,0.0,0.0,2,Violent,Non-violent,Non-violent,6.926410951427317,0.46358904857268257,1.27
CHEMBL3944223,CCN1CCN(c2cncc(-c3cn(-c4cc(NC(=O)c5cc(C)n(C(C)(C)C)n5)ccc4C)nn3)c2)CC1,9,1,0,4.291840000000003,527.3121068040011,8.0,Violent,0.0,0.0,0.0,1,Non-violent,Non-violent,Non-violent,7.90076273555103,0.09923726444896985,0.27
CHEMBL2165268,Cc1nc(N)nc(-c2cccnc2Nc2cccc3[nH]ccc23)n1,6,3,1,3.0491200000000003,317.13889348000043,6.0,Non-violent,0.0,0.0,0.0,0,Non-violent,Non-violent,Non-violent,5.882603117261381,0.11739688273861937,0.32
CHEMBL3694160,COCCN(C)c1ncc2ncnc(Nc3cc(C(=O)Nc4cc(CN5CCCC5)cc(C(F)(F)F)c4)ccc3C)c2n1,9,2,0,5.421320000000006,594.267856956001,8.7,Violent,1.0,0.0,0.0,2,Violent,Non-violent,Non-violent,8.790527594919556,-0.09052759491955698,-0.25
CHEMBL3907167,COC(=O)Nc1nc2cc(C3(O)c4ccccc4C(=O)N3Cc3ccsc3)ccc2[nH]1,6,3,1,3.6521000000000017,434.1048760560006,7.0,Non-violent,0.0,0.0,0.0,0,Non-violent,Non-violent,Non-violent,6.809332167699592,0.19066783230040762,0.52
CHEMBL1808257,CC(=O)N1CCN(c2ccc(Nc3nccc(-c4sc(C(C)C)nc4-c4cccc(NS(=O)(=O)c5ccc(F)cc5)c4)n3)cn2)CC1,10,2,0,6.137500000000006,672.2101071360008,8.02,Violent,1.0,0.0,0.0,2,Violent,Non-violent,Non-violent,8.1773190288763,-0.15731902887629978,-0.43
CHEMBL3641106,Cc1ccc(C(=O)Nc2cc(C(C)(C)C)on2)cc1Nc1ncnc2cnc(N3CCC(N4CCCC4)CC3)nc12,10,2,0,5.074220000000004,555.3070214240012,8.7,Violent,1.0,0.0,0.0,2,Violent,Non-violent,Non-violent,8.637570667941814,0.06242933205818524,0.17
CHEMBL3970384,Cc1ccc(S(=O)(=O)Nc2ccc(F)c(Nc3ncccc3-c3ncnc4[nH]cnc34)c2F)o1,8,3,1,4.1389200000000015,483.0925147800005,7.82,Non-violent,0.0,0.0,0.0,0,Non-violent,Non-violent,Non-violent,7.731338969963787,0.08866103003621362,0.24
CHEMBL3894542,Cc1ccc(NC(=O)c2cccc(C(F)F)c2)cc1-c1cc(N2CCOCC2)c(=O)n(C)c1,5,1,1,4.387220000000004,453.1863981000007,8.9,Non-violent,0.0,0.0,0.0,0,Non-violent,Non-violent,Non-violent,8.559314005219099,0.3406859947809018,0.94
CHEMBL3697756,Cc1ccc(C(=O)NC2CC2)cc1Nc1ncnc2cnc(N3CC[C@@H](F)C3)nc12,7,2,1,2.9122200000000014,407.1869865440007,5.7,Non-violent,0.0,0.0,0.0,0,Non-violent,Non-violent,Non-violent,5.7683535257119365,-0.06835352571193631,-0.19
CHEMBL3977612,O=C(Nc1ccc(Oc2ccnc(NC(=O)C3CC3)c2)cc1)Nc1cccc(OC(F)(F)F)c1,5,3,0,5.765000000000002,472.1358397480005,7.85,Non-violent,1.0,0.0,0.0,1,Violent,Non-violent,Non-violent,7.621492775729828,0.22850722427017178,0.63
CHEMBL560707,CCOC(=O)c1cnn2c(-c3cccc(NC(=O)Nc4cc(C(F)(F)F)ccc4Cl)c3)ccnc12,6,2,0,5.889200000000003,503.0972017440005,5.0,Violent,1.0,0.0,0.0,2,Violent,Non-violent,Non-violent,5.837945581081898,-0.8379455810818977,-2.3
CHEMBL3943475,CS(=O)(=O)Nc1cc(NC(=O)Nc2ccc(Oc3ccnc(NC(=O)C4CC4)c3)c(F)c2)cc(C(F)(F)F)c1,6,4,0,5.395800000000003,567.1199526520006,8.18,Violent,1.0,0.0,0.0,2,Violent,Non-violent,Non-violent,7.83770624899155,0.34229375100844983,0.94
CHEMBL2070572,Cc1c(Cl)cccc1N1C(=O)/C(=C\c2ccc(-c3ccc(C(=O)O)cc3)o2)C(=O)NC1=S,5,2,1,4.437920000000003,466.0390202600004,5.6,Non-violent,0.0,0.0,0.0,0,Non-violent,Non-violent,Non-violent,5.737945710363049,-0.13794571036304948,-0.38
CHEMBL3891219,COC(=O)Nc1nc2ccc(C3CCC(=O)N3c3cccc(Br)c3)cc2[nH]1,4,2,1,4.371800000000003,428.0484025040005,6.0,Non-violent,0.0,0.0,0.0,0,Non-violent,Non-violent,Non-violent,6.646476860994502,-0.6464768609945022,-1.78
CHEMBL3814031,CS(=O)(=O)Nc1cccc(Cn2c(=O)oc3cc(OC(=O)c4ccccc4)ccc3c2=O)c1F,8,1,1,2.732800000000001,484.0740501040004,5.0,Non-violent,0.0,0.0,0.0,0,Non-violent,Non-violent,Non-violent,5.236379728312418,-0.23637972831241783,-0.65
CHEMBL4782235,Nc1cccc(-c2nc3sccn3c2-c2ccnc(NCCCCNS(=O)(=O)c3ccc(C(F)(F)F)cc3)n2)c1,9,3,0,5.291400000000003,587.1384996680006,7.94,Violent,1.0,0.0,0.0,2,Violent,Non-violent,Non-violent,7.715313727533868,0.2246862724661325,0.62
CHEMBL372149,CC(=O)Nc1cccc(-c2cncc(NCCc3ccccc3)n2)c1,4,2,1,3.7566000000000015,332.1637112600006,4.35,Non-violent,0.0,0.0,0.0,0,Non-violent,Non-violent,Non-violent,4.529455856259945,-0.17945585625994553,-0.49
CHEMBL4797100,O=S(=O)(NCCCNc1nccc(-c2[nH]c(-c3ccccc3)nc2-c2ccc(Cl)c(O)c2)n1)c1ccccc1,7,4,0,5.340200000000005,560.1397373400007,8.37,Violent,1.0,0.0,0.0,2,Violent,Non-violent,Non-violent,7.93983018815213,0.4301698118478692,1.18
CHEMBL3641243,COc1ncc2ncnc(Nc3cc(NC(=O)c4ccc(Cl)c(C(F)(F)F)c4)ccc3C)c2n1,7,2,0,5.404920000000003,488.0975360920005,7.23,Non-violent,1.0,0.0,0.0,1,Violent,Non-violent,Non-violent,7.688822125658488,-0.4588221256584877,-1.26
CHEMBL4162460,Cn1ncc2c(Oc3ccc4c(c3)nc(Nc3ccc(Cl)c(Cl)c3)n4C)ncnc21,8,1,0,5.092700000000002,439.07151346000046,6.31,Non-violent,1.0,0.0,0.0,1,Violent,Non-violent,Non-violent,6.548607124759048,-0.23860712475904844,-0.66
